presidential, 11
office, 68
https://t.co/S1oxYxgWCs, 1
@GOP, 23
@senatorcollin, 2
@PressHerald, 1
@bangordailynews, 1
@sunjournal, 1
@rballentine55, 1
hide, 21
Rob, 2
civilian, 83
bmp, 3
impose, 132
combat, 18
guard, 30
Marsha, 1
Hunt, 1
https://t.co/3jkwhrscc4, 1
@johnredwood, 3
Agreed, 2
Scholtz, 1
board, 13
@WhiteHouse, 17
Hurry, 2
wake, 51
basement, 4
bye, 6
den, 2
boy, 34
nap, 4
ice, 8
cream, 7
fiqure, 1
topic, 25
headline, 53
https://t.co/rf3rybkzuu, 2
Feb, 42
